"BOX","AER","Lwratio","box_num","box_ver","rich_num","temp","vel","inlet_angle","window","old_new","inlet_angle_sine","richardson_num"
"AERStall ",55.39,"2","40","4","ORI",0,0.33,"0","Open","old",0,28
"AERStall ",53.55,"2","40","4","ORI",0,0.33,"45","Open","old",0.850903524534118,28
"AERStall ",49.73,"2","40","4","ORI",0,0.33,"90","Open","old",0.893996663600558,28
"AERStall ",64.34,"2","40","4","ORI",7,0.45,"0","Open","old",0,12
"AERStall ",49.01,"2","40","4","ORI",7,0.45,"45","Open","old",0.850903524534118,12
"AERStall ",49.55,"2","40","4","ORI",7,0.45,"90","Open","old",0.893996663600558,12
"AERStall ",157.4,"2","40","4","URI",22,2.5,"0","Open","old",0,0.198
"AERStall ",134,"2","40","4","URI",22,2.5,"45","Open","old",0.850903524534118,0.198
"AERStall ",52.21,"2","40","4","URI",22,2.5,"90","Open","old",0.893996663600558,0.198
"AERStall ",172.2,"2","40","4","URI",30,2.8,"0","Open","old",0,0.078
"AERStall ",143.7,"2","40","4","URI",30,2.8,"45","Open","old",0.850903524534118,0.078
"AERStall ",40.38,"2","40","4","URI",30,2.8,"90","Open","old",0.893996663600558,0.078
"AERStall ",72.83,"2","40","4","ZRI",10,0.85,"0","Open","old",0,3
"AERStall ",57.16,"2","40","4","ZRI",10,0.85,"45","Open","old",0.850903524534118,3
"AERStall ",46.53,"2","40","4","ZRI",10,0.85,"90","Open","old",0.893996663600558,3
"AERStall ",74.95,"2","40","4","ZRI",15,0.97,"0","Open","old",0,1.9
"AERStall ",59.77,"2","40","4","ZRI",15,0.97,"45","Open","old",0.850903524534118,1.9
"AERStall ",42.99,"2","40","4","ZRI",15,0.97,"90","Open","old",0.893996663600558,1.9
"AERStall ",55.39,"2","10","2","ORI",0,0.33,"0","Open","old",0,28
"AERStall ",53.55,"2","10","2","ORI",0,0.33,"45","Open","old",0.850903524534118,28
"AERStall ",49.73,"2","10","2","ORI",0,0.33,"90","Open","old",0.893996663600558,28
"AERStall ",64.34,"2","10","2","ORI",7,0.45,"0","Open","old",0,12
"AERStall ",49.01,"2","10","2","ORI",7,0.45,"45","Open","old",0.850903524534118,12
"AERStall ",49.55,"2","10","2","ORI",7,0.45,"90","Open","old",0.893996663600558,12
"AERStall ",157.4,"2","10","2","URI",22,2.5,"0","Open","old",0,0.198
"AERStall ",134,"2","10","2","URI",22,2.5,"45","Open","old",0.850903524534118,0.198
"AERStall ",52.21,"2","10","2","URI",22,2.5,"90","Open","old",0.893996663600558,0.198
"AERStall ",172.2,"2","10","2","URI",30,2.8,"0","Open","old",0,0.078
"AERStall ",143.7,"2","10","2","URI",30,2.8,"45","Open","old",0.850903524534118,0.078
"AERStall ",40.38,"2","10","2","URI",30,2.8,"90","Open","old",0.893996663600558,0.078
"AERStall ",72.83,"2","10","2","ZRI",10,0.85,"0","Open","old",0,3
"AERStall ",57.16,"2","10","2","ZRI",10,0.85,"45","Open","old",0.850903524534118,3
"AERStall ",46.53,"2","10","2","ZRI",10,0.85,"90","Open","old",0.893996663600558,3
